受试者,参考心率 (BPM),估算心率 (BPM),绝对误差 (BPM),状态
WWW1,88.21,90.69,2.48,OK
WWW4,79.90,90.41,10.51,X
WWW5,82.67,86.84,4.18,OK
WWW6,84.78,74.87,9.92,~
WWW7,81.59,80.86,0.74,OK
WWW8,86.56,82.44,4.11,OK
WWW10,79.90,82.44,2.55,OK
WWW11,76.76,77.11,0.36,OK
WWW12,75.17,86.84,11.67,X
